Nomes,Classificacao,Vida,Obra,Retrato
São Pedro de Rates,bispo e mártir,† 60,,/wiki/Ficheiro:Galeria_dos_Arcebispos_de_Braga-S._P.%C2%BA_de_Rates_(cropped).jpg
São Torpes,mártir,† 68,,"/wiki/Ficheiro:%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%B9_%D0%A2%D1%80%D0%BE%D1%84%D0%B8%D0%BC,_%D0%90%D0%BF%D0%BE%D1%81%D1%82%D0%BE%D0%BB.jpg"
São Silvestre,bispo e mártir,† 70,,/wiki/S%C3%A3o_Silvestre
São Basílio de Braga,bispo,Século I,14 de Abril,/wiki/S%C3%A3o_Bas%C3%ADlio_de_Braga
São Manços,bispo,Século I,,/wiki/S%C3%A3o_Man%C3%A7os
São Torcato,mártir,Século I,Bispo de Lisboa,/wiki/S%C3%A3o_Torcato
São Cucufate,mártir,,,/wiki/Cucufate_(santo)
Santa Susana,virgem e mártir,,,/wiki/Santa_Susana
Santa Celerina,mártir,Século I,,/w/index.php?title=Santa_Celerina&action=edit&redlink=1
Santo Ovídio,bispo e mártir,† 135,,/wiki/Ficheiro:Santo_Ovidio.JPG
São Gaudêncio de Évora,mártir,Século II,,/wiki/S%C3%A3o_Gaud%C3%AAncio_de_%C3%89vora
São Vítor de Braga,mártir,† 300,,/wiki/Victor_de_Braga
São Veríssimo,mártir,† 300,,/wiki/Ficheiro:Garcia_Fernandes_-_Os_Santos_M%C3%A1rtires_de_Lisboa.jpg
Santa Máxima,mártir,,3 de Outubro,/wiki/Santos_M%C3%A1rtires_de_Lisboa
Santa Júlia,virgem e mártir,,,/wiki/Santos_M%C3%A1rtires_de_Lisboa
São Pantaleão,mártir,275–303,,/wiki/Ficheiro:St_Panteleimon.jpg
São Vicente,diácono e mártir,† 304,,"/wiki/Ficheiro:Vicente_de_Zaragoza_by_Tom%C3%A1s_Giner,_1462%E2%80%931466.jpg"
São Jordão,bispo e mártir,† 305,Huesca Mártir,/wiki/Jord%C3%A3o_de_%C3%89vora
Santa Comba,virgem e mártir,,,/w/index.php?title=Santa_Comba_do_Alentejo&action=edit&redlink=1
Santa Anominata,virgem e mártir,,,/w/index.php?title=Santa_Anominata&action=edit&redlink=1
São Brissos,bispo e mártir,† 312,,/wiki/S%C3%A3o_Brissos_de_%C3%89vora
Papa São Dâmaso I,Papa,305–384,,/wiki/Ficheiro:Saintdamasus.jpg
São Tiago Interciso,mártir,† 421,,/w/index.php?title=S%C3%A3o_Tiago_Interciso&action=edit&redlink=1
São Martinho de Dume,arcebispo,518–579,,/wiki/Ficheiro:Martinho_de_Dume.JPG
